@relation author-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute Date {1,0}
@attribute DicoWords {1,0}
@attribute IsMail {1,0}
@attribute relatifNbWordsInBlock numeric
@attribute relatifNumLine numeric
@attribute maxRelatifNumLine {1,0}
@attribute minRelatifNumLine {1,0}
@attribute end {1,0}
@attribute NbNouns numeric
@attribute precededByAuthorTag {1,0}
@attribute createdBy {1,0}
@attribute Location {1,0}
@attribute org {1,0}
@attribute class {0,1}

@data
0,0,0,0.584746,0.318538,0,0,0,9,0,0,0,0,0
0,0,0,0.531404,0.725225,0,0,0,1,0,0,0,0,0
0,0,0,0.347156,0.876972,0,0,0,4,0,0,0,1,0
0,0,0,1,0.301075,0,0,0,1,0,0,0,0,0
0,0,0,1,0.202128,0,0,0,0,0,0,0,1,0
0,0,0,0.033673,0.934426,0,0,1,2,0,0,0,0,0
0,0,0,0.07489,0.176991,0,0,0,0,0,0,0,0,0
1,0,0,1,0.81201,0,0,0,3,0,0,1,1,0
1,0,0,0.109827,0.731884,0,0,0,1,0,0,0,1,0
1,0,0,0.510441,0.279898,0,0,0,3,0,1,1,0,0
1,0,0,1,0.341625,0,0,0,0,0,1,0,1,0
0,0,0,0.131183,0.49835,0,0,0,0,0,0,0,1,0
1,1,0,0.01589,1,1,0,1,2,0,1,1,0,0
0,0,0,1,0.43949,0,0,0,1,0,0,0,1,0
0,0,0,1,0.450549,0,0,0,5,0,0,1,1,0
1,0,0,0.214892,0,0,1,0,2,0,0,0,0,0
0,0,0,1,0.736842,0,0,0,0,0,0,0,0,0
0,0,0,1,0.382716,0,0,0,1,0,0,1,1,0
0,0,0,1,0.086066,0,0,0,2,0,1,1,0,0
1,0,0,0.732673,0.181818,0,0,0,4,0,1,0,1,0
0,0,1,0.198718,0.801843,0,0,0,3,0,0,1,0,0
0,0,0,0.72809,0.488095,0,0,0,0,0,0,0,1,0
1,1,0,0.048068,0.996283,0,0,1,2,0,0,1,1,0
1,0,0,0.781609,0.18239,0,0,0,4,0,0,1,1,0
0,0,1,0.230769,0.725807,0,0,0,4,0,0,1,0,0
0,0,0,1,0.011905,0,0,0,0,0,0,1,1,0
0,0,0,0.158333,0.086957,0,0,0,0,0,0,0,1,0
0,0,0,0.998964,0.340659,0,0,0,2,0,0,0,0,0
1,0,0,0.792181,0.815,0,0,0,2,0,0,0,0,0
0,0,0,1,0.669312,0,0,0,0,0,0,0,0,0
1,0,0,0.705747,0.867925,0,0,0,1,0,0,0,1,0
0,0,0,0.813758,0.196721,0,0,0,1,0,1,0,0,0
0,0,0,0.999601,0,0,1,0,3,0,0,1,1,0
0,0,0,0.007692,0.11,0,0,0,0,0,1,0,0,1
0,0,1,1,0.090909,0,1,0,0,0,1,0,1,1
1,1,0,0.017817,0.992806,0,0,1,0,0,0,1,0,1
0,0,0,0.947368,0.96,0,0,1,3,0,0,1,0,1
1,0,0,0.177778,1,1,0,1,1,0,0,0,0,1
0,0,1,1,0.994382,0,0,1,0,0,1,0,0,1
1,0,0,0.00754,0.008681,0,0,0,0,0,0,1,1,1
0,0,0,0.058824,1,1,1,1,1,1,0,0,0,1
0,1,0,0.12254,0.101124,0,0,0,2,0,1,0,0,1
1,0,0,0.139535,0.911392,0,0,1,0,0,0,0,1,1
1,0,0,0.774194,0.963855,0,0,1,5,0,1,1,0,1
1,1,1,0.998459,0.9875,0,0,1,0,0,1,0,1,1
1,0,0,0.188612,0.359184,0,0,0,5,0,0,0,0,1
1,1,1,0.046512,0.974026,0,0,1,2,0,1,0,0,1
0,0,1,0.30303,0.993007,0,0,1,2,0,0,1,1,1
1,1,1,0.530612,0.935065,0,0,1,0,0,1,0,0,1
1,0,0,1,0.055777,0,0,0,2,0,1,0,0,1
1,1,0,1,0.927711,0,0,1,1,0,0,0,1,1
